"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000163792","1.0","0000000922","NORW","Students continue developing proficiency in spoken and written Norwegian, increasing their vocabulary, improving grammatical accuracy, and gaining experience reading and listening to authentic materials. Offered annually during January term and spring semester. Prerequisite: NORW 111 or by placement test.","22","","","","Thea M. Lund","","S","100","24","Beginning Norwegian II","","112","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'}","False","NORW 111 or by placement test.","","2","","","O","20252","","Research","2025"
"0000163793","1.0","0000037515","ENCON","The field of environmental studies explores how different parts of the Earth system interact with each other, as well as the role that we - as humans - have in shaping our surroundings. In this introductory class, students draw upon a network of scientific, economic, political, and ethical concepts and assemble a toolkit for approaching environmental problems creatively and analytically. Building upon work in the fall EnCon course, students take a deep look at three broad, current environmental issues: climate change, resources, and waste. This course is the second in a three-course Conversation Program. Prerequisite: ENCON 110.","34","","","","Jacob Grossman","0/0","S","100","44","Big Data and Bigger Challenges","Open to Environmental Conversation students only.","111","{'day': 'Mo', 'end': '15:00', 'location': 'TOH 210', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TOH 210', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TOH 210', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TOH 210', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TOH 210', 'start': '13:00'}","False","ENCON 110.","","2","0/0","0/0","C","20252","","Research","2025"
"0000163797","0.0","0000033770","BIO","","23","6/6","","0000000104","Beth Pettitt","5/6","S","100","24","Biology of Women Lab","","124","{'day': 'Mo', 'end': '15:00', 'location': 'RNS 255', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 255', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 255', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 255', 'start': '13:00'}","False","False","","2","5/6","7/6","O","20252","","Lab","2025"
"0000163816","1.0","0000000731","MATH","This course introduces differential and integral calculus of functions of a single real variable, including trigonometric, exponential, and logarithmic functions. Derivatives, integrals, and differential equations are explored graphically, symbolically, and numerically. Applications of these topics are emphasized throughout the course. Credit may be earned for either MATH 119 or MATH 120, but not both. Offered each semester and during January term. Prerequisite: mathematics placement recommendation.","32","","QCR","","Daniel Stoertz","","S","100","28","Calculus I","Course fee $35;This course will provide a lunch break of at least 40 minutes each day.","120","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 208', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 208', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 208', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 208', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 208', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'RNS 208', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 208', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'RNS 208', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 208', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 208', 'start': '13:00'}","False","mathematics placement recommendation.","","2","","","C","20252","","Research","2025"
"0000163832","1.0","0000000736","MATH","This course beautifully illustrates the nature of mathematics as a blend of technique, theory, abstraction, and applications. The important problem of solving systems of linear equations leads to the study of matrix algebra, determinants, vector spaces, bases and dimension, linear transformations, and eigenvalues. Offered each semester and during January term. Prerequisite: MATH 119, MATH 120 or CSCI 221.","26","","QCR","","David P. Walmsley","","S","200","24","Elem Linear Algebra","Open to first-year students.","220","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 206', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 206', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 206', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 206', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 206', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'RNS 206', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 206', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'RNS 206', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 206', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 206', 'start': '13:00'}","False","MATH 119, MATH 120 or CSCI 221.","","2","","","C","20252","Elementary Linear Algebra","Research","2025"
"0000163833","1.0","0000000532","QUEST","The Roman Empire and the rise of Christianity posed questions about the soul, civic and religious virtue, building and resisting empire, and the use of history for political ends. Students address how Christianity was shaped by Roman culture and shaped it in turn. Works include epic, history, philosophy, oratory, canonical and non-canonical gospels, epistles, and apocalyptic works. Students practice oral presentations and debates and complete a project linking visual arts to Roman culture and religion. Offered annually during January Term. Counts toward ancient studies major.","14","","RFV","","Ibtesam Al Atiyat","","S","100","24","Emperors, Orators, Disciples","Open to Enduring Questions students only.","115","{'day': 'Mo', 'end': '12:40', 'location': 'OM 110', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'OM 110', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'OM 110', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'OM 110', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'OM 110', 'start': '10:40'}","False","False","A","2","","","O","20252","","Research","2025"
"0000163834","1.0","0000000532","QUEST","The Roman Empire and the rise of Christianity posed questions about the soul, civic and religious virtue, building and resisting empire, and the use of history for political ends. Students address how Christianity was shaped by Roman culture and shaped it in turn. Works include epic, history, philosophy, oratory, canonical and non-canonical gospels, epistles, and apocalyptic works. Students practice oral presentations and debates and complete a project linking visual arts to Roman culture and religion. Offered annually during January Term. Counts toward ancient studies major.","16","","RFV","","Daniel Farnham","","S","100","24","Emperors, Orators, Disciples","Open to Enduring Questions students only.","115","{'day': 'Mo', 'end': '12:40', 'location': 'OM 210', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'OM 210', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'OM 210', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'OM 210', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'OM 210', 'start': '10:40'}","False","False","B","2","","","O","20252","","Research","2025"
"0000163835","1.0","0000000532","QUEST","The Roman Empire and the rise of Christianity posed questions about the soul, civic and religious virtue, building and resisting empire, and the use of history for political ends. Students address how Christianity was shaped by Roman culture and shaped it in turn. Works include epic, history, philosophy, oratory, canonical and non-canonical gospels, epistles, and apocalyptic works. Students practice oral presentations and debates and complete a project linking visual arts to Roman culture and religion. Offered annually during January Term. Counts toward ancient studies major.","15","","RFV","","Sean P. Killackey","","S","100","24","Emperors, Orators, Disciples","Open to Enduring Questions students only.","115","{'day': 'Mo', 'end': '12:40', 'location': 'OM 240', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'OM 240', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'OM 240', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'OM 240', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'OM 240', 'start': '10:40'}","False","False","C","2","","","O","20252","","Research","2025"
"0000163836","1.0","0000000532","QUEST","The Roman Empire and the rise of Christianity posed questions about the soul, civic and religious virtue, building and resisting empire, and the use of history for political ends. Students address how Christianity was shaped by Roman culture and shaped it in turn. Works include epic, history, philosophy, oratory, canonical and non-canonical gospels, epistles, and apocalyptic works. Students practice oral presentations and debates and complete a project linking visual arts to Roman culture and religion. Offered annually during January Term. Counts toward ancient studies major.","14","","RFV","","Peter Moench","","S","100","24","Emperors, Orators, Disciples","Open to Enduring Questions students only.","115","{'day': 'Mo', 'end': '12:40', 'location': 'OM 140', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'OM 140', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'OM 140', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'OM 140', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'OM 140', 'start': '10:40'}","False","False","D","2","","","O","20252","","Research","2025"
"0000163837","1.0","0000037429","ASIAN","In this course, students travel to China. They consider how direct experience provides them with their own narratives about people, places, and culture of China. Through attention to their own structured and unstructured experiences during the course, students better understand how ordinary people construct ""Chinese"" and ""Asian"" culture and society today. Through multifaceted engagement with multiple sites in China students may visit during their stay, they analyze the role representation and narrative play in both their encounter with and study of Asia. Offered periodically during January Term. Apply through Smith Center for Global Engagement. Prerequisites: at least one Chinese language course or equivalent.","20","","OEP;SCS","","Ying Zhou","","S","200","20","Encountering China: Shanghai","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","217","","False","Prerequisites: at least one Chinese language course or equivalent.","","2","","","C","20252","Encountering China","Research","2025"
"0000163840","1.0","0000017674","BI/ES","Human health is affected by the biological environment, a teeming world of parasites and diseases, and the physical environment -- the water, air, and landscapes that we inhabit. Human interactions with the environment have changed rapidly, as human populations grow, travel increases, and ecosystems are altered. This course touches upon traditional environmental topics such as air and water quality and integrates newer public health challenges such as emerging diseases and food-borne illnesses. Offered periodically. Prerequisite: an introductory science course.","23","","","","Diane K. Angell","","S","200","24","Environmental Health","","228","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 435', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 435', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 435', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 435', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 435', 'start': '10:40'}","False","an introductory science course.","","2","","","O","20252","","Research","2025"
"0000163845","1.0","0000020054","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","19","8/8","CRE","","Anda Tanaka","3/4","S","100","20","Foundation 2-D Media","This course has class-year limits.;The materials fee for ART 102 will be $135.","102","{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'}","False","False","","2","3/4","5/4","O","20252","Foundation Two-Dimensional Media","Research","2025"
"0000163851","1.0","0000038378","BUS","This introductory course focuses on managerial decision making and problem solving. Students gain a foundation on which to build deeper understanding across the different business disciplines, including accounting and finance, marketing, and entrepreneurship. This course includes case studies and practical assignments to understand the key management skills, tools, and frameworks involved in starting, running, growing and adapting a successful business in the context of a rapidly changing technological, competitive, and consumer environment. Offered each semester.","36","","","","Kelsey Baumann","2/0","S","100","35","Fundamentals of Business","Open to first-year and sophomore students only.","110","{'day': 'Mo', 'end': '10:00', 'location': 'HH 111', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'HH 111', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'HH 111', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'HH 111', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'HH 111', 'start': '08:00'}","False","False","","2","0/0","","C","20252","","Research","2025"
"0000163854","1.0","0000000758","MATH","Properties of axiomatic systems are illustrated with finite geometries and applied in a synthetic examination of Euclid's original postulates, well-known Euclidean theorems, and non-Euclidean geometries. Euclidean, similarity, and affine transformations are studied analytically. These transformations are generalized to obtain results in hyperbolic geometry and used to generate fractals in an exploration of fractal geometry. Dynamic geometry software and hands-on labs are used to explore both the transformations and properties of these geometries. Offered annually during January Term. Prerequisite: MATH 220, and MATH 244 or MATH 252.","20","0/0","","","Ryota Matsuura","","S","300","18","Geometry","Not open to first-year students.;This course will provide a 1-hour lunch break each day.","356","{'day': 'Mo', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'}","False","MATH 220, and MATH 244 or MATH 252.","","2","","","C","20252","","Research","2025"
