"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","grouptype","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000144004","1.0","0000000190","CHEM","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major (arts and humanities and social science emphases) and concentration; does not count toward chemistry major. Offered during Interim.","15","","NTS","0000000190","","Kazimer Skubi","","S","100","24","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 390', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 390', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 390', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 390', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 390', 'start': '08:00'}","False","False","","2","","","O","20222","A Matter of the Environment with Lab","Research","2022"
"0000144005","0.0","0000000191","CHEM","","15","","","0000000190","","Kazimer Skubi","","S","100","24","A Matter of Environ Lab","","124","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'Tu', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'Fr', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'}","False","False","","2","","","O","20222","","Lab","2022"
"0000144006","1.0","0000000068","ART","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144007","1.0","0000000073","ART","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144008","1.0","0000000093","ASIAN","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144009","1.0","0000000096","ASIAN","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144010","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144011","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144012","1.0","0000000204","CHEM","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144013","1.0","0000000222","CHEM","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144014","1.0","0000000233","CLASS","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144015","1.0","0000000235","CLASS","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144016","1.0","0000000248","CHIN","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144017","1.0","0000000251","CHIN","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144018","1.0","0000000276","ECON","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
"0000144019","1.0","0000000284","ECON","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20222","","Research","2022"
"0000144020","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20222","","Research","2022"
